"stop_id","stop_name","stop_lat","stop_lon","location_type","parent_station","zone_id","wheelchair_boarding","the_geom","the_geom_2272"
"22251","South St & 8th St",39.942369,-75.155607,NULL,NULL,1,1,"0101000020E6100000D6011077F5C952C0D2E1218C9FF84340","0101000020E0080000D6011077F5C952C0D2E1218C9FF84340"
"22252","South St & 7th St",39.942152,-75.154013,NULL,NULL,1,1,"0101000020E61000002B8A5759DBC952C035EECD6F98F84340","0101000020E00800002B8A5759DBC952C035EECD6F98F84340"
"22253","South St & 6th St",39.941961,-75.152444,NULL,NULL,1,1,"0101000020E61000002C9E7AA4C1C952C0C18D942D92F84340","0101000020E00800002C9E7AA4C1C952C0C18D942D92F84340"
"22254","South St & 5th St",39.94177,-75.150886,NULL,NULL,1,1,"0101000020E610000027DBC01DA8C952C04D2D5BEB8BF84340","0101000020E008000027DBC01DA8C952C04D2D5BEB8BF84340"
"22255","South St & 4th St",39.94157,-75.149293,NULL,NULL,1,1,"0101000020E610000064213A048EC952C08672A25D85F84340","0101000020E008000064213A048EC952C08672A25D85F84340"
"22256","South St & 3rd St",39.94137,-75.147699,NULL,NULL,1,1,"0101000020E6100000B9A981E673C952C0BFB7E9CF7EF84340","0101000020E0080000B9A981E673C952C0BFB7E9CF7EF84340"
"22257","South St & 2nd St",39.941143,-75.14587,NULL,NULL,1,1,"0101000020E6100000ECDD1FEF55C952C0FEEDB25F77F84340","0101000020E0080000ECDD1FEF55C952C0FEEDB25F77F84340"
"22258","Lombard St & 3rd St",39.942449,-75.147258,NULL,NULL,1,1,"0101000020E6100000C284D1AC6CC952C0EF92382BA2F84340","0101000020E0080000C284D1AC6CC952C0EF92382BA2F84340"
"22259","Lombard St & 4th St",39.942667,-75.148852,NULL,NULL,1,1,"0101000020E61000006EFC89CA86C952C05C02F04FA9F84340","0101000020E00800006EFC89CA86C952C05C02F04FA9F84340"
"22260","Lombard St & 5th St",39.942858,-75.150421,NULL,NULL,1,1,"0101000020E61000006CE8667FA0C952C0D0622992AFF84340","0101000020E00800006CE8667FA0C952C0D0622992AFF84340"
"22261","Lombard St & 6th St",39.943066,-75.151991,NULL,NULL,1,1,"0101000020E610000053927538BAC952C01AFCFD62B6F84340","0101000020E008000053927538BAC952C01AFCFD62B6F84340"
"22262","Lombard St & 7th St",39.943248,-75.153584,NULL,NULL,1,1,"0101000020E6100000164CFC51D4C952C03A02B859BCF84340","0101000020E0080000164CFC51D4C952C03A02B859BCF84340"
"22263","Lombard St & 8th St",39.943457,-75.155154,NULL,NULL,1,1,"0101000020E6100000FDF50A0BEEC952C05517F032C3F84340","0101000020E0080000FDF50A0BEEC952C05517F032C3F84340"
"22264","Lombard St & 9th St",39.943639,-75.156723,NULL,NULL,1,1,"0101000020E6100000FCE1E7BF07CA52C0751DAA29C9F84340","0101000020E0080000FCE1E7BF07CA52C0751DAA29C9F84340"
"22265","Lombard St & 10th St",39.943821,-75.158258,NULL,NULL,1,1,"0101000020E6100000259529E620CA52C096236420CFF84340","0101000020E0080000259529E620CA52C096236420CFF84340"
"22266","Lombard St & 11th St",39.944056,-75.159874,NULL,NULL,1,1,"0101000020E6100000C45E28603BCA52C0DACBB6D3D6F84340","0101000020E0080000C45E28603BCA52C0DACBB6D3D6F84340"
"22267","Lombard St & 12th St",39.944247,-75.161432,NULL,NULL,1,1,"0101000020E6100000C921E2E654CA52C04D2CF015DDF84340","0101000020E0080000C921E2E654CA52C04D2CF015DDF84340"
"22268","Lombard St & 13th St",39.944438,-75.163014,NULL,NULL,1,1,"0101000020E610000092B245D26ECA52C0C18C2958E3F84340","0101000020E008000092B245D26ECA52C0C18C2958E3F84340"
