"dist_name","stop_id","stop_name","stop_lat","stop_lon","the_geom"
"Upper North","15459","Thouron Av & Sedgwick St",40.073058,-75.171844,"0101000020E6100000E200FA7DFFCA52C0085BECF659094440"
"Upper North","15461","Thouron Av & Vernon Rd",40.071473,-75.169106,"0101000020E6100000ACE3F8A1D2CA52C004C6FA0626094440"
"Upper North","15463","Broad St & 66th Av",40.053463,-75.141416,"0101000020E610000065C8B1F50CC952C0E54526E0D7064440"
"Upper North","15465","Broad St & 67th Av - FS",40.055399,-75.141018,"0101000020E61000006E895C7006C952C0959D7E5017074440"
"Upper North","15468","Broad St & 68th Av",40.05663,-75.140777,"0101000020E6100000DBC1887D02C952C07AFCDEA63F074440"
"Upper North","15471","Broad St & 71st Av ",40.061118,-75.139801,"0101000020E6100000AEBCE47FF2C852C03599F1B6D2074440"
"Upper North","15479","Thouron Av & Phil Ellena St",40.070174,-75.166816,"0101000020E6100000C51C041DADCA52C0C7832D76FB084440"
"Upper North","15481","Thouron Av & Sharpnack St",40.069377,-75.165435,"0101000020E610000048A7AE7C96CA52C01C0C7558E1084440"
"Upper North","15483","Thouron Av & Upsal St",40.068705,-75.164337,"0101000020E61000007521567F84CA52C02D095053CB084440"
"Upper North","15484","Upsal St & Woolston Av",40.067529,-75.16569,"0101000020E61000008DD13AAA9ACA52C00B444FCAA4084440"
"Upper North","15488","Upsal St & Lowber Av",40.065268,-75.168123,"0101000020E610000025ADF886C2CA52C0D8BCAAB35A084440"
"Upper North","15490","Upsal St & Stenton Av",40.06272,-75.170805,"0101000020E6100000923F1878EECA52C00E677E3507084440"
"Upper North","15496","Nedro Av & 19th St ",40.043678,-75.151967,"0101000020E61000008FC4CBD3B9C952C000C79E3D97054440"
"Upper North","15499","Nedro Av & Kemble Av",40.043719,-75.154119,"0101000020E61000004D2CF015DDC952C05F9B8D9598054440"
"Upper North","15501","Nedro Av & 21st St ",40.043776,-75.155751,"0101000020E61000006FD40AD3F7C952C0C32CB4739A054440"
"Upper North","15502","Nedro Av & Wister St",40.043835,-75.158163,"0101000020E6100000FC1BB4571FCA52C0C8B5A1629C054440"
"Upper North","15504","Broad St & 72nd Av",40.062911,-75.139604,"0101000020E610000003999D45EFC852C082C7B7770D084440"
"Upper North","15507","Wister St & Church Ln",40.044995,-75.158146,"0101000020E6100000917F66101FCA52C0E4BD6A65C2054440"
"Upper North","15508","Wister St & Sprague St ",40.046432,-75.158058,"0101000020E6100000C1374D9F1DCA52C073BED87BF1054440"
